# AFTER: 1d66caf8 (perf improvements applied)
go version go1.26.4 darwin/arm64
goos: darwin
goarch: arm64
pkg: github.com/ghostunnel/ghostunnel/proxy
cpu: Apple M1
BenchmarkGetServerConfig/parallel-4       	1000000000	         0.6366 ns/op	       0 B/op	       0 allocs/op
BenchmarkGetServerConfig/parallel-4       	1000000000	         0.6421 ns/op	       0 B/op	       0 allocs/op
BenchmarkGetServerConfig/parallel-4       	1000000000	         0.6610 ns/op	       0 B/op	       0 allocs/op
BenchmarkGetServerConfig/parallel-8       	1000000000	         0.5485 ns/op	       0 B/op	       0 allocs/op
BenchmarkGetServerConfig/parallel-8       	1000000000	         0.5410 ns/op	       0 B/op	       0 allocs/op
BenchmarkGetServerConfig/parallel-8       	1000000000	         0.5470 ns/op	       0 B/op	       0 allocs/op
BenchmarkGetServerConfig/parallel-8       	1000000000	         0.5493 ns/op	       0 B/op	       0 allocs/op
BenchmarkGetServerConfig/parallel-8       	1000000000	         0.5245 ns/op	       0 B/op	       0 allocs/op
BenchmarkGetServerConfig/parallel-8       	1000000000	         0.5645 ns/op	       0 B/op	       0 allocs/op
BenchmarkGetServerConfig/parallel-8       	1000000000	         0.5466 ns/op	       0 B/op	       0 allocs/op
BenchmarkGetServerConfig/parallel-8       	1000000000	         0.5484 ns/op	       0 B/op	       0 allocs/op
BenchmarkGetServerConfig/parallel-8       	1000000000	         0.5191 ns/op	       0 B/op	       0 allocs/op
BenchmarkGetServerConfig/parallel-8       	1000000000	         0.5271 ns/op	       0 B/op	       0 allocs/op
BenchmarkGetClientConfig/serial           	527450694	         2.245 ns/op	       0 B/op	       0 allocs/op
BenchmarkGetClientConfig/serial           	527291259	         2.248 ns/op	       0 B/op	       0 allocs/op
BenchmarkGetClientConfig/serial           	532816105	         2.260 ns/op	       0 B/op	       0 allocs/op
BenchmarkGetClientConfig/serial           	528455977	         2.252 ns/op	       0 B/op	       0 allocs/op
BenchmarkGetClientConfig/serial           	533927970	         2.257 ns/op	       0 B/op	       0 allocs/op
BenchmarkGetClientConfig/serial           	534066092	         2.252 ns/op	       0 B/op	       0 allocs/op
BenchmarkGetClientConfig/serial           	532233679	         2.255 ns/op	       0 B/op	       0 allocs/op
BenchmarkGetClientConfig/serial           	532314638	         2.250 ns/op	       0 B/op	       0 allocs/op
BenchmarkGetClientConfig/serial           	531424927	         2.266 ns/op	       0 B/op	       0 allocs/op
BenchmarkGetClientConfig/serial           	534212706	         2.250 ns/op	       0 B/op	       0 allocs/op
BenchmarkGetClientConfig/serial-4         	531115335	         2.251 ns/op	       0 B/op	       0 allocs/op
BenchmarkGetClientConfig/serial-4         	529191136	         2.254 ns/op	       0 B/op	       0 allocs/op
BenchmarkGetClientConfig/serial-4         	532214892	         2.260 ns/op	       0 B/op	       0 allocs/op
BenchmarkGetClientConfig/serial-4         	534372885	         2.260 ns/op	       0 B/op	       0 allocs/op
BenchmarkGetClientConfig/serial-4         	531322278	         2.258 ns/op	       0 B/op	       0 allocs/op
BenchmarkGetClientConfig/serial-4         	532806643	         2.347 ns/op	       0 B/op	       0 allocs/op
BenchmarkGetClientConfig/serial-4         	528812572	         2.360 ns/op	       0 B/op	       0 allocs/op
BenchmarkGetClientConfig/serial-4         	511469527	         2.375 ns/op	       0 B/op	       0 allocs/op
BenchmarkGetClientConfig/serial-4         	533387658	         2.263 ns/op	       0 B/op	       0 allocs/op
BenchmarkGetClientConfig/serial-4         	527072588	         2.255 ns/op	       0 B/op	       0 allocs/op
BenchmarkGetClientConfig/serial-8         	531978464	         2.265 ns/op	       0 B/op	       0 allocs/op
BenchmarkGetClientConfig/serial-8         	531376782	         2.254 ns/op	       0 B/op	       0 allocs/op
BenchmarkGetClientConfig/serial-8         	532345731	         2.260 ns/op	       0 B/op	       0 allocs/op
BenchmarkGetClientConfig/serial-8         	534246202	         2.261 ns/op	       0 B/op	       0 allocs/op
BenchmarkGetClientConfig/serial-8         	531462094	         2.260 ns/op	       0 B/op	       0 allocs/op
BenchmarkGetClientConfig/serial-8         	530260572	         2.256 ns/op	       0 B/op	       0 allocs/op
BenchmarkGetClientConfig/serial-8         	532276076	         2.258 ns/op	       0 B/op	       0 allocs/op
BenchmarkGetClientConfig/serial-8         	532412356	         2.254 ns/op	       0 B/op	       0 allocs/op
BenchmarkGetClientConfig/serial-8         	529443394	         2.259 ns/op	       0 B/op	       0 allocs/op
BenchmarkGetClientConfig/serial-8         	532834048	         2.262 ns/op	       0 B/op	       0 allocs/op
